player_a_1,player_a_2,player_b_1,player_b_2,score_a,score_b
Lina,Mirza,Luqman,Haziq,21,19
Hasanah,Adib,Mujahid,Shazwan,21,14
Hazwan,Nadia,Afiqah,Ammar,15,21
Haziq,Mujahid,Luqman,Lina,21,14
Hasanah,Mirza,Adib,Shazwan,19,21
Afiqah,Nadia,Ammar,Lina,15,21
Afiqah,Hazwan,Adib,Hasanah,21,12
Lina,Luqman,Lisa,Haziq,21,16
Ammar,Nadia,Khairul,Shazwan,21,17
Luqman,Mirza,Alif,Mujahid,21,18
Lisa,Khairul,Hasanah,Alif,18,21
Lina,Haziq,Hazwan,Adib,21,19
Shazwan,Luqman,Nadia,Mirza,19,21
Afiqah,Alif,Mujahid,Ammar,22,20
Shazwan,Lisa,Khairul,Hazwan,18,21
Mirza,Luqman,Lina,Haziq,21,18
Lisa,Khairul,Mujahid,Luqman,17,21
Nadia,Ammar,Hasanah,Adib,21,17
